Month,Period_Label,Inflows_Collections_EGP,Financing_Drawdown_EGP,Total_Inflows_EGP,Construction_Outflow_EGP,Soft_Sales_Admin_Outflow_EGP,Financing_Repayment_Interest_EGP,Total_Outflows_EGP,Net_Cashflow_EGP,Cumulative_Cashflow_EGP,Opening_Cash_EGP,Closing_Cash_EGP,Notes
1,2025-01,8000000,50000000,58000000,25000000,8000000,1500000,34500000,23500000,23500000,0,23500000,Land advance + early sales
2,2025-02,12000000,0,12000000,28000000,7000000,1500000,36500000,-24500000,-1000000,23500000,-1000000,Heavy construction start
3,2025-03,15000000,30000000,45000000,35000000,7500000,1800000,44300000,700000,-300000,-1000000,-300000,Financing draw
4,2025-04,18000000,0,18000000,40000000,8000000,1800000,49800000,-31800000,-32100000,-300000,-32100000,Peak outflow
5,2025-05,22000000,0,22000000,38000000,7000000,1800000,46800000,-24800000,-56900000,-32100000,-56900000,Sales steady
6,2025-06,25000000,20000000,45000000,35000000,6500000,2000000,43500000,1500000,-55400000,-56900000,-55400000,Financing top-up
7,2025-07,28000000,0,28000000,32000000,7000000,2000000,41000000,-13000000,-68400000,-55400000,-68400000,Collections improving
8,2025-08,32000000,0,32000000,30000000,7500000,2000000,39500000,-7500000,-75900000,-68400000,-75900000,Peak Funding around here
9,2025-09,35000000,0,35000000,28000000,7000000,2000000,37000000,-2000000,-77900000,-75900000,-77900000,Approaching trough
10,2025-10,40000000,0,40000000,25000000,6500000,2200000,33700000,6300000,-71600000,-77900000,-71600000,Recovery begins
11,2025-11,45000000,0,45000000,22000000,6000000,2200000,30200000,14800000,-56800000,-71600000,-56800000,Strong collections
12,2025-12,50000000,0,50000000,18000000,6500000,2200000,26700000,23300000,-33500000,-56800000,-33500000,Year-end
13,2026-01,55000000,0,55000000,15000000,6000000,2500000,23500000,31500000,-2000000,-33500000,-2000000,Delivery phase
14,2026-02,60000000,0,60000000,12000000,5500000,2500000,20000000,40000000,38000000,-2000000,38000000,Turns positive
15,2026-03,65000000,0,65000000,8000000,5000000,2500000,15500000,49500000,87500000,38000000,87500000,Near close-out
